image,transcription,transliteration,length
h_img_00241.png,ꦫꦱꦩꦲ,rasamaha,4
h_img_00323.png,ꦏꦝꦭꦗꦏꦔ,kadhalajakanga,6
h_img_00130.png,ꦥꦠꦚꦥꦥ,patanyapapa,5
h_img_00312.png,ꦒꦕꦭꦚ,gacalanya,4
h_img_00020.png,ꦥꦠꦩꦗꦚꦏ,patamajanyaka,6
h_img_00464.png,ꦱꦱꦏꦩꦏꦚ,sasakamakanya,6
h_img_00201.png,ꦪꦩꦩꦱ,yamamasa,4
h_img_00270.png,ꦪꦥꦮꦝ,yapawadha,4
h_img_00234.png,ꦥꦪꦢꦠ,payadata,4
h_img_00399.png,ꦛꦪꦔ,thayanga,3
h_img_00071.png,ꦝꦕꦱ,dhacasa,3
h_img_00463.png,ꦭꦝ,ladha,2
h_img_00118.png,ꦧꦕꦏꦏ,bacakaka,4
h_img_00254.png,ꦏꦏꦧꦮ,kakabawa,4
h_img_00032.png,ꦔꦥ,ngapa,2
h_img_00450.png,ꦤꦲꦭꦛ,nahalatha,4
h_img_00194.png,ꦠꦒ,taga,2
h_img_00082.png,ꦤꦭꦝ,naladha,3
h_img_00028.png,ꦮꦥꦫꦭꦪꦢ,waparalayada,6
h_img_00469.png,ꦛꦧꦏ,thabaka,3
h_img_00269.png,ꦥꦚꦗꦪꦫ,panyajayara,5
h_img_00372.png,ꦮꦤꦕꦗꦝ,wanacajadha,5
h_img_00416.png,ꦚꦧꦮꦔꦔꦫ,nyabawangangara,6
h_img_00039.png,ꦠꦭꦗꦝꦚꦒ,talajadhanyaga,6
h_img_00346.png,ꦱꦪ,saya,2
h_img_00219.png,ꦝꦝꦪꦏ,dhadhayaka,4
h_img_00484.png,ꦱꦠ,sata,2
h_img_00226.png,ꦭꦪꦮꦚꦭꦠ,layawanyalata,6
h_img_00424.png,ꦭꦩꦲꦝꦥꦫ,lamahadhapara,6
h_img_00491.png,ꦪꦧꦩ,yabama,3
h_img_00456.png,ꦕꦗꦫꦢ,cajarada,4
h_img_00069.png,ꦚꦔ,nyanga,2
h_img_00223.png,ꦚꦮꦚ,nyawanya,3
h_img_00007.png,ꦠꦥꦫ,tapara,3
h_img_00060.png,ꦥꦤ,pana,2
h_img_00077.png,ꦤꦕꦪꦮ,nacayawa,4
h_img_00441.png,ꦧꦮꦧ,bawaba,3
h_img_00347.png,ꦚꦕꦫꦩꦔꦧ,nyacaramangaba,6
h_img_00063.png,ꦔꦕ,ngaca,2
h_img_00461.png,ꦱꦤꦫꦚ,sanaranya,4
h_img_00147.png,ꦮꦔꦧꦩꦚꦪ,wangabamanyaya,6
h_img_00405.png,ꦒꦧꦫꦥ,gabarapa,4
h_img_00236.png,ꦮꦢꦮꦩꦭꦥ,wadawamalapa,6
h_img_00370.png,ꦚꦝꦚ,nyadhanya,3
h_img_00041.png,ꦛꦧ,thaba,2
h_img_00485.png,ꦫꦔ,ranga,2
h_img_00299.png,ꦛꦗꦪꦭꦫ,thajayalara,5
h_img_00268.png,ꦪꦚꦱ,yanyasa,3
h_img_00338.png,ꦏꦪꦕꦱꦚꦝ,kayacasanyadha,6
h_img_00454.png,ꦮꦢꦲꦥꦭ,wadahapala,5
